method,stage,count
matched_random_mutation,proposed,4
matched_random_mutation,identity_interval_eligible,4
matched_random_mutation,selected,2
matched_random_mutation,fixed_zero_violation,2
matched_random_mutation,low_complexity_pass,2
matched_random_mutation,homopolymer_pass,2
matched_random_mutation,atlas_coverage_hit,1
matched_random_mutation,level1_pass,1
matched_random_mutation,level2_esm_scored,2
msa_profile_sampling,proposed,4
msa_profile_sampling,identity_interval_eligible,4
msa_profile_sampling,selected,2
msa_profile_sampling,fixed_zero_violation,2
msa_profile_sampling,low_complexity_pass,2
msa_profile_sampling,homopolymer_pass,2
msa_profile_sampling,atlas_coverage_hit,2
msa_profile_sampling,level1_pass,2
msa_profile_sampling,level2_esm_scored,2
unconstrained_esm_if1,proposed,4
unconstrained_esm_if1,identity_interval_eligible,4
unconstrained_esm_if1,selected,2
unconstrained_esm_if1,fixed_zero_violation,2
unconstrained_esm_if1,low_complexity_pass,2
unconstrained_esm_if1,homopolymer_pass,2
unconstrained_esm_if1,atlas_coverage_hit,1
unconstrained_esm_if1,level1_pass,1
unconstrained_esm_if1,level2_esm_scored,2
catalytic_only_fixed_esm_if1,proposed,4
catalytic_only_fixed_esm_if1,identity_interval_eligible,4
catalytic_only_fixed_esm_if1,selected,2
catalytic_only_fixed_esm_if1,fixed_zero_violation,2
catalytic_only_fixed_esm_if1,low_complexity_pass,2
catalytic_only_fixed_esm_if1,homopolymer_pass,2
catalytic_only_fixed_esm_if1,atlas_coverage_hit,1
catalytic_only_fixed_esm_if1,level1_pass,1
catalytic_only_fixed_esm_if1,level2_esm_scored,2
conservation_constrained_esm_if1,proposed,4
conservation_constrained_esm_if1,identity_interval_eligible,4
conservation_constrained_esm_if1,selected,2
conservation_constrained_esm_if1,fixed_zero_violation,2
conservation_constrained_esm_if1,low_complexity_pass,2
conservation_constrained_esm_if1,homopolymer_pass,2
conservation_constrained_esm_if1,atlas_coverage_hit,2
conservation_constrained_esm_if1,level1_pass,2
conservation_constrained_esm_if1,level2_esm_scored,2
conservation_rna_contact_esm_if1,proposed,4
conservation_rna_contact_esm_if1,identity_interval_eligible,4
conservation_rna_contact_esm_if1,selected,2
conservation_rna_contact_esm_if1,fixed_zero_violation,2
conservation_rna_contact_esm_if1,low_complexity_pass,1
conservation_rna_contact_esm_if1,homopolymer_pass,2
conservation_rna_contact_esm_if1,atlas_coverage_hit,2
conservation_rna_contact_esm_if1,level1_pass,1
conservation_rna_contact_esm_if1,level2_esm_scored,2
proteinmpnn,proposed,4
proteinmpnn,identity_interval_eligible,4
proteinmpnn,selected,2
proteinmpnn,fixed_zero_violation,2
proteinmpnn,low_complexity_pass,2
proteinmpnn,homopolymer_pass,2
proteinmpnn,atlas_coverage_hit,2
proteinmpnn,level1_pass,2
proteinmpnn,level2_esm_scored,2
ligandmpnn,proposed,4
ligandmpnn,identity_interval_eligible,4
ligandmpnn,selected,2
ligandmpnn,fixed_zero_violation,2
ligandmpnn,low_complexity_pass,2
ligandmpnn,homopolymer_pass,2
ligandmpnn,atlas_coverage_hit,2
ligandmpnn,level1_pass,2
ligandmpnn,level2_esm_scored,2
esm_if1_ligandmpnn_consensus,proposed,4
esm_if1_ligandmpnn_consensus,identity_interval_eligible,4
esm_if1_ligandmpnn_consensus,selected,2
esm_if1_ligandmpnn_consensus,fixed_zero_violation,2
esm_if1_ligandmpnn_consensus,low_complexity_pass,2
esm_if1_ligandmpnn_consensus,homopolymer_pass,2
esm_if1_ligandmpnn_consensus,atlas_coverage_hit,2
esm_if1_ligandmpnn_consensus,level1_pass,2
esm_if1_ligandmpnn_consensus,level2_esm_scored,2
