method,reference_method,metric,independent_unit,independent_unit_count,paired_mean_difference,bootstrap_ci_lower,bootstrap_ci_upper,bootstrap_replicates,confidence,unadjusted_permutation_p_value,inference_label,benjamini_hochberg_p_value
catalytic_only_fixed_esm_if1,unconstrained_esm_if1,conditional_log_likelihood,seed,2,0.0,0.0,0.0,2000,0.95,1.0,low_power_descriptive,1.0
catalytic_only_fixed_esm_if1,unconstrained_esm_if1,perplexity,seed,2,0.0,0.0,0.0,2000,0.95,1.0,low_power_descriptive,1.0
catalytic_only_fixed_esm_if1,unconstrained_esm_if1,parent_identity,seed,2,0.0,0.0,0.0,2000,0.95,1.0,low_power_descriptive,1.0
catalytic_only_fixed_esm_if1,unconstrained_esm_if1,designed_position_identity,seed,2,0.0,0.0,0.0,2000,0.95,1.0,low_power_descriptive,1.0
catalytic_only_fixed_esm_if1,unconstrained_esm_if1,maximum_atlas_identity,seed,1,0.0,0.0,0.0,2000,0.95,1.0,low_power_descriptive,1.0
catalytic_only_fixed_esm_if1,unconstrained_esm_if1,fixed_position_violations,seed,2,0.0,0.0,0.0,2000,0.95,1.0,low_power_descriptive,1.0
catalytic_only_fixed_esm_if1,unconstrained_esm_if1,low_complexity_failure,seed,2,0.0,0.0,0.0,2000,0.95,1.0,low_power_descriptive,1.0
catalytic_only_fixed_esm_if1,unconstrained_esm_if1,homopolymer_failure,seed,2,0.0,0.0,0.0,2000,0.95,1.0,low_power_descriptive,1.0
catalytic_only_fixed_esm_if1,unconstrained_esm_if1,buried_core_recovery,seed,2,0.0,0.0,0.0,2000,0.95,1.0,low_power_descriptive,1.0
catalytic_only_fixed_esm_if1,unconstrained_esm_if1,rna_interface_recovery,seed,2,0.0,0.0,0.0,2000,0.95,1.0,low_power_descriptive,1.0
catalytic_only_fixed_esm_if1,unconstrained_esm_if1,rna_second_shell_recovery,seed,2,0.0,0.0,0.0,2000,0.95,1.0,low_power_descriptive,1.0
catalytic_only_fixed_esm_if1,unconstrained_esm_if1,hepn_region_recovery,seed,2,0.0,0.0,0.0,2000,0.95,1.0,low_power_descriptive,1.0
catalytic_only_fixed_esm_if1,unconstrained_esm_if1,model_agreement,seed,2,0.0,0.0,0.0,2000,0.95,1.0,low_power_descriptive,1.0
catalytic_only_fixed_esm_if1,unconstrained_esm_if1,candidate_diversity,seed,2,0.0,0.0,0.0,2000,0.95,1.0,low_power_descriptive,1.0
conservation_constrained_esm_if1,unconstrained_esm_if1,conditional_log_likelihood,seed,2,64.91433487489121,37.803710690292064,92.02495905949036,2000,0.95,0.5,low_power_descriptive,1.0
conservation_constrained_esm_if1,unconstrained_esm_if1,perplexity,seed,2,-0.5546240289056268,-0.7734963452545038,-0.33575171255674974,2000,0.95,0.5,low_power_descriptive,1.0
conservation_constrained_esm_if1,unconstrained_esm_if1,parent_identity,seed,2,0.02604166666666667,0.018518518518518517,0.033564814814814825,2000,0.95,0.5,low_power_descriptive,1.0
conservation_constrained_esm_if1,unconstrained_esm_if1,designed_position_identity,seed,2,0.026162790697674423,0.018604651162790697,0.03372093023255815,2000,0.95,0.5,low_power_descriptive,1.0
conservation_constrained_esm_if1,unconstrained_esm_if1,maximum_atlas_identity,seed,1,0.006000000000000005,0.006000000000000005,0.006000000000000005,2000,0.95,1.0,low_power_descriptive,1.0
conservation_constrained_esm_if1,unconstrained_esm_if1,fixed_position_violations,seed,2,0.0,0.0,0.0,2000,0.95,1.0,low_power_descriptive,1.0
conservation_constrained_esm_if1,unconstrained_esm_if1,low_complexity_failure,seed,2,0.0,0.0,0.0,2000,0.95,1.0,low_power_descriptive,1.0
conservation_constrained_esm_if1,unconstrained_esm_if1,homopolymer_failure,seed,2,0.0,0.0,0.0,2000,0.95,1.0,low_power_descriptive,1.0
conservation_constrained_esm_if1,unconstrained_esm_if1,buried_core_recovery,seed,2,0.039525691699604765,0.01976284584980237,0.05928853754940716,2000,0.95,0.5,low_power_descriptive,1.0
conservation_constrained_esm_if1,unconstrained_esm_if1,rna_interface_recovery,seed,2,0.1328125,0.1328125,0.1328125,2000,0.95,0.5,low_power_descriptive,1.0
conservation_constrained_esm_if1,unconstrained_esm_if1,rna_second_shell_recovery,seed,2,0.0222222222222222,0.007407407407407363,0.037037037037037035,2000,0.95,0.5,low_power_descriptive,1.0
conservation_constrained_esm_if1,unconstrained_esm_if1,hepn_region_recovery,seed,2,0.0,0.0,0.0,2000,0.95,1.0,low_power_descriptive,1.0
conservation_constrained_esm_if1,unconstrained_esm_if1,model_agreement,seed,2,-0.023148148148148223,-0.3287037037037038,0.28240740740740733,2000,0.95,1.0,low_power_descriptive,1.0
conservation_constrained_esm_if1,unconstrained_esm_if1,candidate_diversity,seed,2,-0.07754629629629628,-0.07754629629629628,-0.07754629629629628,2000,0.95,0.5,low_power_descriptive,1.0
conservation_rna_contact_esm_if1,unconstrained_esm_if1,conditional_log_likelihood,seed,2,58.27492653700756,39.86469193542143,76.68516113859368,2000,0.95,0.5,low_power_descriptive,1.0
conservation_rna_contact_esm_if1,unconstrained_esm_if1,perplexity,seed,2,-0.5019258537990758,-0.650214366795459,-0.3536373408026927,2000,0.95,0.5,low_power_descriptive,1.0
conservation_rna_contact_esm_if1,unconstrained_esm_if1,parent_identity,seed,2,0.04918981481481481,0.04398148148148148,0.05439814814814814,2000,0.95,0.5,low_power_descriptive,1.0
conservation_rna_contact_esm_if1,unconstrained_esm_if1,designed_position_identity,seed,2,0.04941860465116278,0.044186046511627886,0.05465116279069768,2000,0.95,0.5,low_power_descriptive,1.0
conservation_rna_contact_esm_if1,unconstrained_esm_if1,maximum_atlas_identity,seed,1,0.017000000000000015,0.017000000000000015,0.017000000000000015,2000,0.95,1.0,low_power_descriptive,1.0
conservation_rna_contact_esm_if1,unconstrained_esm_if1,fixed_position_violations,seed,2,0.0,0.0,0.0,2000,0.95,1.0,low_power_descriptive,1.0
conservation_rna_contact_esm_if1,unconstrained_esm_if1,low_complexity_failure,seed,2,0.5,0.0,1.0,2000,0.95,1.0,low_power_descriptive,1.0
conservation_rna_contact_esm_if1,unconstrained_esm_if1,homopolymer_failure,seed,2,0.0,0.0,0.0,2000,0.95,1.0,low_power_descriptive,1.0
conservation_rna_contact_esm_if1,unconstrained_esm_if1,buried_core_recovery,seed,2,0.07312252964426877,0.05335968379446637,0.09288537549407117,2000,0.95,0.5,low_power_descriptive,1.0
conservation_rna_contact_esm_if1,unconstrained_esm_if1,rna_interface_recovery,seed,2,0.3125,0.3046875,0.3203125,2000,0.95,0.5,low_power_descriptive,1.0
conservation_rna_contact_esm_if1,unconstrained_esm_if1,rna_second_shell_recovery,seed,2,0.029629629629629617,0.0222222222222222,0.037037037037037035,2000,0.95,0.5,low_power_descriptive,1.0
conservation_rna_contact_esm_if1,unconstrained_esm_if1,hepn_region_recovery,seed,2,0.0,0.0,0.0,2000,0.95,1.0,low_power_descriptive,1.0
conservation_rna_contact_esm_if1,unconstrained_esm_if1,model_agreement,seed,2,-0.027777777777777818,-0.32754629629629634,0.2719907407407407,2000,0.95,1.0,low_power_descriptive,1.0
conservation_rna_contact_esm_if1,unconstrained_esm_if1,candidate_diversity,seed,2,-0.09722222222222221,-0.09722222222222221,-0.09722222222222221,2000,0.95,0.5,low_power_descriptive,1.0
esm_if1_ligandmpnn_consensus,unconstrained_esm_if1,conditional_log_likelihood,seed,2,62.48498387381551,45.00180308561539,79.96816466201562,2000,0.95,0.5,low_power_descriptive,1.0
esm_if1_ligandmpnn_consensus,unconstrained_esm_if1,perplexity,seed,2,-0.5374082133172271,-0.6767834195373519,-0.3980330070971023,2000,0.95,0.5,low_power_descriptive,1.0
esm_if1_ligandmpnn_consensus,unconstrained_esm_if1,parent_identity,seed,2,0.012152777777777776,0.0046296296296296224,0.01967592592592593,2000,0.95,0.5,low_power_descriptive,1.0
