scaffold_id,combination,pdb_ids,single_state_score,normalized_weights,multi_state_mean_score,multi_state_min_score,multi_state_variance,score_normalization,state_rank_consistency,rank_consistency_reason,is_mock,evidence_level
CasRx,binary only,9M31,"{""9M31"": -2.5220683185205743}","{""9M31"": 1.0}",-2.5220683185205743,-2.5220683185205743,0.0,mean_log_likelihood_per_resolved_residue,,one native sequence only,False,2
CasRx,ternary only,9M8Q,"{""9M8Q"": -2.3898298088423173}","{""9M8Q"": 1.0}",-2.3898298088423173,-2.3898298088423173,0.0,mean_log_likelihood_per_resolved_residue,,one native sequence only,False,2
CasRx,binary + ternary,9M31;9M8Q,"{""9M31"": -2.5220683185205743, ""9M8Q"": -2.3898298088423173}","{""9M31"": 0.5, ""9M8Q"": 0.5}",-2.455949063681446,-2.5220683185205743,0.004371755860481618,mean_log_likelihood_per_resolved_residue,,one native sequence only,False,2
DjCas13d,apo only,9M38,"{""9M38"": -2.244730966359369}","{""9M38"": 1.0}",-2.244730966359369,-2.244730966359369,0.0,mean_log_likelihood_per_resolved_residue,,one native sequence only,False,2
DjCas13d,binary only,9M30,"{""9M30"": -2.3806214343369976}","{""9M30"": 1.0}",-2.3806214343369976,-2.3806214343369976,0.0,mean_log_likelihood_per_resolved_residue,,one native sequence only,False,2
DjCas13d,ternary only,9M33;9M34,"{""9M33"": -2.239669072027124, ""9M34"": -2.2447700154794537}","{""9M33"": 0.5, ""9M34"": 0.5}",-2.242219543753289,-2.2447700154794537,6.504906025966305e-06,mean_log_likelihood_per_resolved_residue,,one native sequence only,False,2
DjCas13d,apo + binary,9M38;9M30,"{""9M30"": -2.3806214343369976, ""9M38"": -2.244730966359369}","{""9M30"": 0.5, ""9M38"": 0.5}",-2.312676200348183,-2.3806214343369976,0.004616554821794719,mean_log_likelihood_per_resolved_residue,,one native sequence only,False,2
DjCas13d,binary + ternary,9M30;9M33;9M34,"{""9M30"": -2.3806214343369976, ""9M33"": -2.239669072027124, ""9M34"": -2.2447700154794537}","{""9M30"": 0.3333333333333333, ""9M33"": 0.3333333333333333, ""9M34"": 0.3333333333333333}",-2.2883535072811916,-2.3806214343369976,0.004261021785605065,mean_log_likelihood_per_resolved_residue,,one native sequence only,False,2
DjCas13d,apo + binary + ternary,9M38;9M30;9M33;9M34,"{""9M30"": -2.3806214343369976, ""9M33"": -2.239669072027124, ""9M34"": -2.2447700154794537, ""9M38"": -2.244730966359369}","{""9M30"": 0.25, ""9M33"": 0.25, ""9M34"": 0.25, ""9M38"": 0.25}",-2.277447872050736,-2.3806214343369976,0.003552564978543066,mean_log_likelihood_per_resolved_residue,,one native sequence only,False,2
EsCas13d,binary only,6E9E,"{""6E9E"": -2.2302674687931803}","{""6E9E"": 1.0}",-2.2302674687931803,-2.2302674687931803,0.0,mean_log_likelihood_per_resolved_residue,,one native sequence only,False,2
EsCas13d,ternary only,6E9F,"{""6E9F"": -2.1018863399377654}","{""6E9F"": 1.0}",-2.1018863399377654,-2.1018863399377654,0.0,mean_log_likelihood_per_resolved_residue,,one native sequence only,False,2
EsCas13d,binary + ternary,6E9E;6E9F,"{""6E9E"": -2.2302674687931803, ""6E9F"": -2.1018863399377654}","{""6E9E"": 0.5, ""6E9F"": 0.5}",-2.1660769043654726,-2.2302674687931803,0.004120428561547659,mean_log_likelihood_per_resolved_residue,,one native sequence only,False,2
UrCas13d,binary only,6IV9,"{""6IV9"": -2.386030676537796}","{""6IV9"": 1.0}",-2.386030676537796,-2.386030676537796,0.0,mean_log_likelihood_per_resolved_residue,,one native sequence only,False,2
